Vertice, peso (V), Aresta, peso (A)
uso, (8), geotecnologia, (2) 
suporte, (4), urbanizacao, (2) 
floreta, (4), urbano, (2) 
ausencia, (4), tecnica, (2) 
entao, (4), laboratorio, (2) 
mineral, (8), alteracao, (2) 
mineral, (8), oligoelemento, (2) 
sensivel, (4), alteracao, (2) 
tal, (12), interferencia, (2) 
tal, (12), desmatamento, (2) 
tal, (12), anomalia, (2) 
academica, (4), campo, (2) 
codigo, (4), gratuito, (2) 
provavel, (4), presenca, (2) 
vizinho, (4), agua, (2) 
impropria, (8), conalto, (2) 
impropria, (8), agricultura, (2) 
aptidoes, (4), suporte, (2) 
particular, (4), sulfato, (2) 
campo, (8), periodo, (2) 
campo, (8), estudo, (2) 
antropogenico, (4), tal, (2) 
arborizacao, (12), urbano, (6) 
procedimento, (8), estudo, (2) 
procedimento, (8), base, (2) 
urbanasplanejamento, (4), urbanoclassificacao, (2) 
licenca, (4), livre, (2) 
ferramenta, (12), sistema, (2) 
ferramenta, (12), quantificacao, (2) 
ferramenta, (12), geoprocessamento, (2) 
causa, (4), anomalia, (2) 
paisagem, (12), urbana, (4) 
paisagem, (12), proposicao, (2) 
ordenamento, (4), solo, (2) 
verde, (4), mato, (2) 
alto, (12), resolucao, (6) 
contraste, (4), sulfato, (2) 
principal, (12), eixo, (2) 
principal, (12), iom, (2) 
principal, (12), processo, (2) 
essencial, (4), equilibrio, (2) 
desafio, (4), fator, (2) 
missao, (4), campo, (2) 
maquina, (4), procedimento, (2) 
potassio, (4), sub-superficial, (2) 
dado, (12), analis, (2) 
dado, (12), imagem, (2) 
dado, (12), respeito, (2) 
composicao, (8), quimica, (4) 
planalto, (4), agua, (2) 
urbanizacao, (8), ambiente, (2) 
urbanizacao, (8), planejamento, (2) 
negro, (4), norte, (2) 
industrial, (4), estudo, (2) 
tema, (4), municipio, (2) 
processo, (12), distinto, (2) 
processo, (12), natural, (2) 
processo, (12), ordenamento, (2) 
ph, (8), turbidez, (2) 
ph, (8), acordo, (2) 
caminho, (4), agua, (2) 
acordo, (4), testemunho, (2) 
oxidacao, (4), agua, (2) 
